",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117775,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,16:00,2022-01-05,00:00,0.234,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117776,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,17:00,2022-01-05,01:00,0.405,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117777,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,18:00,2022-01-05,02:00,0.809,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117778,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,19:00,2022-01-05,03:00,0.72,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117779,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,20:00,2022-01-05,04:00,0.857,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117780,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,21:00,2022-01-05,05:00,0.726,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117781,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,22:00,2022-01-05,06:00,0.696,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117782,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-04,23:00,2022-01-05,07:00,0.548,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117783,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,00:00,2022-01-05,08:00,0.589,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117784,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,01:00,2022-01-05,09:00,0.491,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117785,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,02:00,2022-01-05,10:00,0.416,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
