"State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"240892,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,09:00,1980-01-03,17:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240893,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,10:00,1980-01-03,18:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240894,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,11:00,1980-01-03,19:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240895,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,12:00,1980-01-03,20:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240896,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,13:00,1980-01-03,21:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240897,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,14:00,1980-01-03,22:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240898,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,15:00,1980-01-03,23:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240899,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,16:00,1980-01-04,00:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240900,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,17:00,1980-01-04,01:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240901,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,18:00,1980-01-04,02:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240902,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,19:00,1980-01-04,03:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240903,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,20:00,1980-01-04,04:00,2.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240904,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,21:00,1980-01-04,05:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240905,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,22:00,1980-01-04,06:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240906,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-03,23:00,1980-01-04,07:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240907,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,00:00,1980-01-04,08:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240908,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,01:00,1980-01-04,09:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240909,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,02:00,1980-01-04,10:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240910,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,03:00,1980-01-04,11:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240911,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,04:00,1980-01-04,12:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240912,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,05:00,1980-01-04,13:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240913,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,06:00,1980-01-04,14:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240914,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,07:00,1980-01-04,15:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240915,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,08:00,1980-01-04,16:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240916,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,09:00,1980-01-04,17:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240917,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,10:00,1980-01-04,18:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240918,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,11:00,1980-01-04,19:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240919,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,12:00,1980-01-04,20:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240920,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,13:00,1980-01-04,21:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240921,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,14:00,1980-01-04,22:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240922,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,15:00,1980-01-04,23:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240923,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,16:00,1980-01-05,00:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240924,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,17:00,1980-01-05,01:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240925,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,18:00,1980-01-05,02:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240926,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,19:00,1980-01-05,03:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240927,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,20:00,1980-01-05,04:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240928,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,21:00,1980-01-05,05:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240929,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,22:00,1980-01-05,06:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240930,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-04,23:00,1980-01-05,07:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240931,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,00:00,1980-01-05,08:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240932,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,01:00,1980-01-05,09:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240933,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,02:00,1980-01-05,10:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240934,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,03:00,1980-01-05,11:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240935,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,04:00,1980-01-05,12:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240936,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,05:00,1980-01-05,13:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240937,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-05,06:00,1980-01-05,14:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
